226,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,0,0,1,0,4,0,0,8,1,0,0,7,0,1,0,0,0,0,1,0,0,0,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,180,15,0,1,0,0,0,0,1,3,4,3,0,2,0,0,5,10,0,0,0,0,0,6,0,0,14,4,0,0,0,1,2,0,0,3,2,0,0,1,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,3,191,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,1,2,2,2,0,0,0,1,6,0,0,0,0,0,0,37,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,216,0,0,0,0,0,0,1,1,2,1,1,0,0,0,1,1,0,13,3,0,1,0,0,1,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,9,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,218,0,4,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,1,0,1,0,3,1,4,0,0,0,7,0,3,1,0,0,11,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,243,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,2,0,244,0,1,0,0,0,1,1,2,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,1,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,264,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,159,3,2,0,0,0,0,0,1,0,1,0,2,10,0,0,0,0,3,0,2,0,0,1,46,0,1,2,0,14,0,0,0,0,7,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0
